navrhujícístrana,politickápříslušnost,pořadízvolení/náhradníka,mandát,číslo,název,poř.číslo,"příjmení, jméno, tituly",věk,abs.,v %
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",11,Zlámalová Alžběta,32,SPR-RSČMS,SPR-RSČMS,62,"2,70",-,-
12,PIRÁTI A STAROSTOVÉ,45,Zmeškal Miloš,31,Piráti,Piráti,2 572,"1,66",39,-
16,Česká str.sociálně demokrat.,1,Žáček Filip Mgr.,31,ČSSD,ČSSD,2 033,"3,14",1,*
12,PIRÁTI A STAROSTOVÉ,39,Žák Michal,29,Piráti,Piráti,3 169,"2,05",33,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",4,Žák Stanislav,46,SPR-RSČMS,SPR-RSČMS,66,"2,87",-,-
12,PIRÁTI A STAROSTOVÉ,19,Žák Zdeněk,41,Piráti,Piráti,3 447,"2,23",13,-
8,ANO 2011,1,Žbánek Miroslav Mgr. MPA,45,ANO,ANO,8 237,"2,39",1,*
8,ANO 2011,30,Živcová Lucie,44,ANO,BEZPP,7 605,"2,20",16,-
13,spOLečně,25,Žůrek Jan,39,spOL,BEZPP,1 673,"2,18",22,-
2,Strana zelených,22,Žwak Pavel,35,Zelení,Zelení,496,"2,00",-,-
