obvod,číslo,název,poř. číslo,"příjmení, jméno",tituly,věk,navrh. strana,polit. přísl.,abs.,v %,pořadí,mandát
5,5,Unie svobody-Demokratická unie,5,Petrová Barbora, ,35,US-DEU,US-DEU,186,10.58, , 
3,5,Unie svobody-Demokratická unie,2,Petřík Ladislav, ,58,US-DEU,US-DEU,253,14.92, , 
4,3,Česká str.sociálně demokrat.,1,Petřík Miroslav, ,32,ČSSD,ČSSD,1 157,13.01,1,*
1,8,Česká str.sociálně demokrat.,8,Picek Radomír,JUDr. ,46,ČSSD,ČSSD,900,10.34,6, 
3,5,Unie svobody-Demokratická unie,1,Pilát Miroslav,PaedDr. ,43,US-DEU,US-DEU,431,25.42, , 
5,7,Národní sjednocení,1,Píšová Miroslava, ,26,NSJ,BEZPP,28,100.00, , 
5,10,Občanská demokratická strana,9,Pižurin Michal, ,21,ODS,ODS,976,9.77,6, 
5,3,NEZÁVISLÍ,6,Pluháček Marek,MUDr. ,34,NEZ,ČSNS,267,11.49, , 
5,2,Naděje a Hnutí obč. sebeobr.,3,Podmolík Leopold, ,58,N,N,162,10.25, , 
4,8,Křesť.demokr.unie-Čs.str.lid.,8,Podracký Vlastimil,Ing. ,62,KDU-ČSL,KAN,481,8.06,7, 
3,3,Komunistická str.Čech a Moravy,9,Poklop Bohumil,Ing. ,77,KSČM,KSČM,596,9.81,7, 
1,2,Občanská demokratická strana,7,Pokorná Kateřina, ,27,ODS,ODS,1 233,10.51,4, 
3,1,Občanská demokratická strana,1,Pokorný Vladimír,Ing. ,56,ODS,ODS,1 091,13.21,1,*
2,2,Křesť.demokr.unie-Čs.str.lid.,7,Polepil Miroslav,Ing. ,60,KDU-ČSL,KDU-ČSL,309,9.44, , 
4,3,Česká str.sociálně demokrat.,7,Portyš Karel, ,32,ČSSD,ČSSD,893,10.04,5, 
2,3,NEZÁVISLÍ,5,Pořízka Lubomír, ,55,NEZ,BEZPP,233,7.57, , 
5,5,Unie svobody-Demokratická unie,6,Pospíšil Zdeněk, ,29,US-DEU,BEZPP,188,10.70, , 
4,9,Unie svobody-Demokratická unie,5,Pražák Martin,Ing. ,26,US-DEU,US-DEU,136,8.80, , 
4,8,Křesť.demokr.unie-Čs.str.lid.,5,Procházka Petr,MVDr. ,38,KDU-ČSL,KDU-ČSL,878,14.72,1,*
3,4,Křesť.demokr.unie-Čs.str.lid.,2,Procházka Vladimír,Ing.Bc. ,55,KDU-ČSL,KDU-ČSL,425,12.75,1, 
1,3,OLOMOUC 21-SOS a nez.ob.inic.,2,Přasličková Dana, ,47,SOS,SOS,317,12.35, , 
2,7,OLOMOUC 21-SOS a nez.ob.inic.,2,Příborský Jan, ,55,NK,BEZPP,278,15.07, , 
1,3,OLOMOUC 21-SOS a nez.ob.inic.,7,Přibylová Miluše, ,38,NK,BEZPP,231,9.00, , 
1,4,Naděje a Hnutí obč. sebeobr.,4,Příhoda Václav, ,58,NK,BEZPP,244,9.58, , 
2,4,Česká str.sociálně demokrat.,2,Ptačovský Zdeněk, ,48,ČSSD,ČSSD,1 730,11.55,3,*
2,1,Strana zelených a Šance pro Ol,8,Raclavský Vladislav,MUDr. Ph.D.,36,NK,BEZPP,587,12.23,1, 
4,5,Strana zelených a Šance pro Ol,2,Richterová Helena,Mgr. ,45,NK,BEZPP,579,14.04,1, 
5,10,Občanská demokratická strana,4,Robenek Karel,Ing. ,67,ODS,ODS,1 113,11.14,1, 
