číslo,název,poř. číslo,"příjmení, jméno, tituly",věk,navrh. strana,polit. přísl.,abs.,v %,pořadí,mandát
5,Česká str.sociálně demokrat.,6,Boková Danuše,74,ČSSD,ČSSD,4 450,"2,23",6,*
1,Křesť.demokr.unie-Čs.str.lid.,15,Borik Jiří Mgr.,49,KDU-ČSL,BEZPP,2 552,"2,41",10,-
11,Občané pro Olomouc,34,Bouchal Jan Mgr. Ph.D.,41,NK,BEZPP,1 621,"2,07",31,-
1,Křesť.demokr.unie-Čs.str.lid.,24,Brabcová Jitka Ing. Ph.D.,53,KDU-ČSL,KDU-ČSL,2 308,"2,18",19,-
12,Komunistická str.Čech a Moravy,36,Bránka Karel,62,KSČM,KSČM,2 023,"2,14",32,-
13,ANO 2011,15,Brázdil Milan MUDr.,51,ANO,BEZPP,6 311,"2,53",1,*
6,ProOlomouc,10,Brázdová Eliška,34,ProOl,BEZPP,1 586,"3,26",8,-
11,Občané pro Olomouc,35,Brumar Michal Mgr. et Mgr.,29,Zelení,BEZPP,1 572,"2,01",32,-
7,TOP 09,40,Brzobohatý Robin Mgr.,33,TOP 09,TOP 09,1 834,"1,86",36,-
5,Česká str.sociálně demokrat.,33,Břečková Jarmila Mgr.,62,ČSSD,ČSSD,4 310,"2,16",23,-
2,Strana svobodných občanů,45,Břeňová Anděla,59,Svobodní,BEZPP,415,"1,74",-,-
8,Občanská demokratická strana,15,Bubeník Tomáš,35,ODS,BEZPP,2 596,"2,20",11,-
4,Patrioti PRO Olomouc,22,Buček Karel,46,NK,BEZPP,256,"1,91",-,-
4,Patrioti PRO Olomouc,32,Budka Radomír,39,NK,BEZPP,239,"1,78",-,-
1,Křesť.demokr.unie-Čs.str.lid.,30,Bureš Miroslav,51,KDU-ČSL,BEZPP,2 195,"2,07",25,-
11,Občané pro Olomouc,29,Calábková Dana Ing.,44,NK,BEZPP,1 601,"2,05",26,-
13,ANO 2011,13,Capka Jan,36,ANO,BEZPP,5 717,"2,29",2,-
1,Křesť.demokr.unie-Čs.str.lid.,37,Cetkovský Jan Ing.,79,KDU-ČSL,KDU-ČSL,2 157,"2,03",32,-
2,Strana svobodných občanů,30,Cigánková Hana Bc.,32,Svobodní,BEZPP,529,"2,22",-,-
2,Strana svobodných občanů,14,Coufal Milan,31,Svobodní,BEZPP,515,"2,16",-,-
5,Česká str.sociálně demokrat.,4,Czmero Jaromír Ing.,62,ČSSD,ČSSD,4 805,"2,41",4,*
5,Česká str.sociálně demokrat.,37,Czmero Rostislav,65,ČSSD,ČSSD,4 168,"2,09",27,-
5,Česká str.sociálně demokrat.,8,Čapka Radek Mgr.,47,ČSSD,ČSSD,4 858,"2,44",8,*
1,Křesť.demokr.unie-Čs.str.lid.,40,Čedroň Jiří Ing.,48,KDU-ČSL,BEZPP,2 082,"1,96",35,-
2,Strana svobodných občanů,44,Čechová Jitka,35,Svobodní,BEZPP,415,"1,74",-,-
1,Křesť.demokr.unie-Čs.str.lid.,36,Čepělová Ivana Bc.,34,KDU-ČSL,KDU-ČSL,2 121,"2,00",31,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",17,Černáš Pavel,53,SPR-RSČMS,BEZPP,79,"2,03",-,-
8,Občanská demokratická strana,11,Černohouz Zdeněk Mgr.,28,ODS,ODS,2 711,"2,30",8,-
13,ANO 2011,11,Červinka Filip Bc.,29,ANO,ANO,5 655,"2,26",12,*
2,Strana svobodných občanů,36,Čižmařová Iveta,34,Svobodní,BEZPP,490,"2,06",-,-
14,Úsvit přímé demokracie,39,Čižmařová Šárka,25,Úsvit,BEZPP,451,"1,96",-,-
9,Koruna Česká (monarch.strana),24,Čtvrtlíková Olga,39,KČ,BEZPP,121,"2,76",-,-
5,Česká str.sociálně demokrat.,10,Čulík Petr,27,ČSSD,ČSSD,4 532,"2,27",10,*
6,ProOlomouc,14,Daněk Mikuláš,23,ProOl,BEZPP,1 420,"2,92",12,-
6,ProOlomouc,3,Daněk Petr Ing. arch.,34,ProOl,ProOl,2 168,"4,46",1,-
9,Koruna Česká (monarch.strana),21,Danis Ladislav,48,KČ,BEZPP,124,"2,83",-,-
14,Úsvit přímé demokracie,44,Deak Roman,39,Úsvit,BEZPP,424,"1,84",-,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",11,Divina Jan,29,SPR-RSČMS,BEZPP,89,"2,29",-,-
11,Občané pro Olomouc,26,Dleštíková Hana JUDr.,64,Zelení,BEZPP,1 602,"2,05",23,-
10,Strana Práv Občanů,13,Dobeš Jan Ing. arch.,57,SPO,SPO,213,"3,92",-,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",13,Dočkal Petr,58,SPR-RSČMS,SPR-RSČMS,85,"2,19",-,-
12,Komunistická str.Čech a Moravy,24,Dokoupilová Ivanka PaedDr. CSc.,64,KSČM,BEZPP,2 064,"2,18",20,-
7,TOP 09,35,Dorazilová Kateřina MUDr.,48,TOP 09,BEZPP,2 191,"2,22",31,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",27,Dostál Bohumil,68,SPR-RSČMS,BEZPP,74,"1,90",-,-
1,Křesť.demokr.unie-Čs.str.lid.,13,Dostál Jan Ing.,53,KDU-ČSL,KDU-ČSL,2 459,"2,32",8,-
10,Strana Práv Občanů,25,Dostál Josef,79,SPO,BEZPP,120,"2,20",-,-
13,ANO 2011,38,Doubrava Martin,44,ANO,BEZPP,5 219,"2,09",26,-
10,Strana Práv Občanů,24,Dubčíková Pavlína,32,SPO,BEZPP,137,"2,52",-,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",2,Dufek Jiří,62,SPR-RSČMS,SPR-RSČMS,112,"2,88",-,-
2,Strana svobodných občanů,2,Dulka Radek Mgr.,34,Svobodní,Svobodní,718,"3,02",-,-
5,Česká str.sociálně demokrat.,28,Dvorský Roman Mgr.,48,ČSSD,ČSSD,4 356,"2,18",18,-
10,Strana Práv Občanů,4,Dvořák Václav RNDr.,63,SPO,SPO,284,"5,23",-,-
1,Křesť.demokr.unie-Čs.str.lid.,42,Dvořáková Markéta,34,KDU-ČSL,KDU-ČSL,1 984,"1,87",37,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",41,Endlicher Jiří,60,SPR-RSČMS,BEZPP,71,"1,82",-,-
10,Strana Práv Občanů,27,Faltejsková Iveta,40,SPO,BEZPP,144,"2,65",-,-
13,ANO 2011,9,Ferancová Miroslava Mgr.,47,ANO,ANO,5 855,"2,34",10,*
13,ANO 2011,1,Feranec Milan Mgr.,50,ANO,ANO,6 257,"2,51",2,*
1,Křesť.demokr.unie-Čs.str.lid.,17,Fišer Jiří RNDr. Ph.D.,45,KDU-ČSL,BEZPP,2 399,"2,26",12,-
